1,2023-11-29 23:53:35,21,30,16,5,BOTH,SPANISH
2,2023-11-30 00:22:30,4,15,4,0,BOTH,ENGLISH
3,2023-11-30 00:23:23,14,30,13,1,RIGHT,SPANISH
4,2023-11-30 00:27:30,34,30,12,22,BOTH,SPANISH
5,2023-11-30 00:36:55,28,30,2,26,BOTH,SPANISH
6,2023-12-03 18:49:56,16,30,16,0,LEFT,SPANISH
7,2023-12-03 19:10:25,17,30,16,1,LEFT,SPANISH
8,2023-12-03 19:36:01,4,11,4,0,RIGHT,SPANISH
9,2023-12-03 19:43:34,3,5,3,0,LEFT,SPANISH
10,2023-12-03 19:43:56,3,8,3,0,LEFT,ENGLISH
11,2023-12-03 19:44:19,3,8,3,0,BOTH,SPANISH
12,2023-12-03 19:44:40,3,12,3,0,RIGHT,ENGLISH
13,2023-12-03 19:49:58,3,7,3,0,LEFT,SPANISH
14,2023-12-03 19:50:14,3,7,3,0,LEFT,ENGLISH
15,2023-12-03 19:50:29,3,6,3,0,BOTH,SPANISH
16,2023-12-03 19:50:54,3,18,3,0,BOTH,ENGLISH
17,2023-12-03 19:51:35,3,25,3,0,RIGHT,SPANISH
18,2023-12-03 19:51:59,3,16,3,0,RIGHT,ENGLISH
19,2023-12-03 19:59:19,13,20,9,4,LEFT,SPANISH
